Sample,Type,AME,BCF,BGB,BKB,BLC,BLG,BLR,BLS,BRM,BRS,BUM,BUS,CAP,CCF,CHS,COS,DUD,EMS,FCF,FRD,GOL,GOR,GRC,GSF,GZS,HFC,INS,LMB,LOG,LOP,LOS,MOF,MOM,MOO,NFH,NHS,ORS,RVC,RVS,SAB,SAR,SAS,SCP,SES,SFS,SHG,SHR,SHS,SJM,SKH,SMB,SPB,SPC,SPG,STB,SUM,SVC,SVL,SVM,SVR,THS,ULL,WHB,WHC,YLB
VMC_1_1S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
VMC_1_2M,1,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,2,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,0,13,2,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
VMC_1_2S,2,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,5,1,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,8,1,0,0,0,1,0,13,0,0,0,0,0,0,2,0,0,0,0,1,0
VMC_1_3M,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VMC_1_3S,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1641,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0,0,0,23,0,0,0,1,0,0
VMC_2_2M,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,3,2,0,0,0,0,0,5,23,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0
VMC_2_2S,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,6,0,0,67,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,6,12,12,0,0,0,17,105,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
VMC_3_1M,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VMC_3_1S,2,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
VMC_3_2M,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VMC_3_2S,2,0,0,1,2,0,0,0,0,0,0,3,0,5,11,0,0,1,17,3,22,1,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,0,5,1,1,0,0,0,7,7,6,1,1,0,0,0,10,0,0,0,4,1,0,33,0,0,0,0,0,0
VMC_3_3M,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,1,4,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
VMC_3_3S,2,0,0,0,3,1,0,0,0,0,0,0,0,7,2,0,0,0,35,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,4,2,0,0,1,1,17,1,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,3,0,0
