"","COMID","A_ligamentina","A_confragosus","E_triquetra"
"797",3601254,0,1,0
"798",3601256,1,1,0
"799",3601258,0,0,0
"800",3601260,1,1,0
"801",3601274,0,0,0
"802",3601280,1,1,0
"803",3601284,0,0,0
"804",3601296,1,1,0
"805",3601942,0,1,0
"806",3601974,1,1,0
"807",3601976,1,1,0
"808",3601994,1,1,0
"809",3602000,1,1,0
"810",3607074,0,0,0
"811",3607084,0,0,0
"812",3607100,0,1,0
"813",3607112,1,1,0
"814",3607114,0,1,0
"815",3607116,1,1,0
"816",3623115,0,0,0
"817",3623123,0,0,0
"818",3623137,0,1,0
"819",3623147,0,0,0
"820",3623149,0,1,0
"821",3623157,0,0,0
"822",3623167,0,0,0
"823",3623177,0,1,0
"824",3623181,0,0,0
"825",3623189,0,0,0
"826",3623195,0,0,0
"827",3623197,0,0,0
"828",3623205,0,0,0
"829",3623207,0,0,0
"830",3623213,0,0,0
"831",3623217,0,1,0
"832",3623221,0,1,0
"833",3623231,0,1,0
"834",3623233,0,0,0
"835",3623243,0,1,0
"836",3623245,0,1,0
"837",3623973,0,0,0
"838",3623979,0,1,0
"839",3623991,0,1,0
"840",3623995,0,1,0
"841",3623997,0,1,0
"842",3624181,0,0,0
"843",3624185,0,0,0
"844",3624211,0,1,0
"845",3624213,0,1,0
"846",3624229,0,0,0
"847",3624231,0,0,0
"848",3624235,0,0,0
"849",3624267,0,0,0
"850",3624447,0,0,0
"851",3624461,0,0,0
"852",3624473,0,0,0
"853",3624483,0,0,0
"854",3624495,0,0,0
"855",3624497,0,0,0
"856",3624499,0,0,0
"857",3624503,0,0,0
"858",3624507,0,0,0
"859",3624511,0,0,0
"860",3624547,0,0,0
"861",3624553,0,0,0
"862",3624695,0,1,0
"863",3624697,0,0,0
"864",3624701,0,0,0
"865",3624711,0,1,0
"866",3624723,1,1,0
"867",3624727,0,0,0
"868",3624733,0,0,0
"869",3624735,0,0,0
"870",3624739,1,0,0
"871",3624745,0,0,0
"872",3624747,0,0,0
"873",3624757,1,1,0
"874",3624761,0,1,0
"875",3624763,0,1,0
"876",3624765,1,0,0
"877",3624767,0,0,0
"878",3624769,0,0,0
"879",3624773,0,0,0
"880",3624783,0,0,0
"881",3624785,0,0,0
"882",3624797,0,0,0
"883",3626871,0,0,0
"884",3626919,0,0,0
"885",3626933,0,0,0
"886",3626959,0,0,0
"887",3627017,1,0,0
"888",3627027,1,0,0
"889",3627473,1,0,0
"890",3627569,1,0,0
"891",3627759,1,0,0
"892",3627899,0,0,0
"893",3628227,0,0,0
"894",3628289,0,0,0
"895",3628907,1,0,0
"896",3628993,1,0,0
"897",3629053,0,0,0
"898",3629055,1,0,0
"899",3629059,0,0,0
"900",3629065,1,0,0
"901",3629067,0,0,0
"902",3629071,1,1,0
"903",3629073,1,1,1
"904",3629083,1,0,0
"905",3629087,0,0,0
"906",3629147,1,1,1
"907",3629155,1,0,0
"908",3629159,0,0,0
"909",3629163,1,1,1
"910",3629173,1,0,1
"911",3629181,0,1,0
"912",3629187,1,0,1
"913",3629201,1,0,0
"914",3629225,0,0,0
"915",3629229,0,0,0
"916",3629237,0,0,0
"917",3629241,1,0,1
"918",3629247,0,0,0
"919",3629257,0,1,0
"920",3629263,0,0,0
"921",3629267,1,0,0
"922",3629317,0,0,0
"923",3629323,1,0,0
"924",3629327,0,0,0
"925",3629943,0,0,0
"926",3630817,0,0,0
"927",3630823,0,1,0
"928",3630825,0,0,0
"929",3630829,0,0,0
"930",4872015,1,1,0
"931",5002753,1,0,0
"932",5007665,1,1,0
"933",5087450,0,0,0
"934",5087482,0,0,0
"935",5087512,0,0,0
"936",5087530,0,0,0
"937",5087532,0,0,0
"938",5087556,0,0,0
"939",5087564,0,0,0
"940",5087582,0,0,0
"941",5087606,0,0,0
"942",5087626,0,0,0
"943",5087648,0,0,0
"944",5087652,0,0,0
"945",5087696,0,0,0
"946",5088312,0,0,0
"947",5088314,0,0,0
"948",5088340,0,0,0
"949",5088356,0,0,0
"950",5088358,0,0,0
"951",5088376,0,0,0
"952",5088390,0,0,0
"953",5088400,0,0,0
"954",5088410,0,0,0
"955",5088412,0,0,0
"956",5088416,0,0,0
"957",5088444,0,0,0
"958",5088468,0,0,0
"959",5088486,0,0,0
"960",5088488,0,0,0
"961",5088498,0,0,0
"962",5088512,0,0,0
"963",5088520,0,0,0
"964",5088524,0,0,0
"965",5088534,0,0,0
"966",5088542,1,0,0
"967",5089732,0,0,0
"968",5089776,0,0,0
"969",5089778,0,0,0
"970",5089782,0,0,0
"971",5089814,1,0,0
"972",5089868,0,0,0
"973",5089874,0,0,0
"974",5089876,0,0,0
"975",5089878,0,0,0
